episode,reward,average_reward,epsilon,steps,loss
440,65.0,180.0,0.8024746459248447,235454,0.5081
441,125.0,180.05,0.8020734086018824,235915,1.1514
442,420.0,180.3,0.8016723718975814,236537,1.1247
443,45.0,178.75,0.8012715357116327,236853,0.6436
444,125.0,177.35,0.8008708999437769,237349,0.8209
445,135.0,172.25,0.8004704644938051,237738,0.8385
446,40.0,169.7,0.8000702292615582,238045,0.4906
447,195.0,170.25,0.7996701941469275,238749,1.4551
448,180.0,168.95,0.7992703590498541,239312,0.5351
449,180.0,169.25,0.7988707238703292,239885,1.9068
450,105.0,169.45,0.7984712885083941,240369,0.2690
451,80.0,169.2,0.79807205286414,240818,0.5454
452,25.0,166.85,0.797673016837708,241149,0.6192
453,50.0,165.25,0.7972741803292892,241459,1.8974
454,225.0,166.3,0.7968755432391246,242092,0.5823
455,410.0,165.35,0.796477105467505,242780,0.4973
456,150.0,166.1,0.7960788669147714,243275,0.3006
457,150.0,166.35,0.7956808274813141,243741,0.9702
458,105.0,159.25,0.7952829870675735,244045,0.5209
459,105.0,158.65,0.7948853455740398,244481,0.2709
460,60.0,159.15,0.7944879029012528,244789,0.8977
461,120.0,156.65,0.7940906589498022,245248,0.4052
462,55.0,153.6,0.7936936136203274,245559,0.3259
463,345.0,155.75,0.7932967668135174,246526,0.2647
464,205.0,155.05,0.7929001184301107,247274,0.2572
465,55.0,152.45,0.7925036683708957,247592,0.4841
466,115.0,152.2,0.7921074165367102,247983,0.3770
467,30.0,150.95,0.7917113628284419,248262,0.2172
468,230.0,152.4,0.7913155071470277,248999,1.1523
469,175.0,153.3,0.7909198493934543,249559,0.6205
470,200.0,154.05,0.7905243894687576,250158,0.2984
471,270.0,155.4,0.7901291272740233,251313,0.7371
472,45.0,152.15,0.7897340627103864,251672,0.2868
473,75.0,151.7,0.7893391956790312,251980,0.3992
474,260.0,152.95,0.7889445260811917,252614,0.7843
475,150.0,153.25,0.7885500538181511,253215,0.4340
476,35.0,152.95,0.7881557787912421,253513,0.4781
477,65.0,152.65,0.7877617009018465,254031,0.1641
478,315.0,152.4,0.7873678200513956,254699,1.5913
479,75.0,152.25,0.7869741361413699,255125,0.9402
480,160.0,151.75,0.7865806490732993,255795,1.2281
481,110.0,149.6,0.7861873587487627,256280,0.6865
482,25.0,149.4,0.7857942650693883,256682,0.3849
483,395.0,151.2,0.7854013679368537,257568,0.3227
484,215.0,151.7,0.7850086672528853,258125,1.0416
485,120.0,151.15,0.784616162919259,258619,0.6423
486,210.0,152.05,0.7842238548377993,259267,0.6407
487,75.0,152.45,0.7838317429103805,259646,0.8167
488,40.0,151.7,0.7834398270389253,259945,0.2474
489,30.0,151.4,0.783048107125406,260224,2.0552
490,65.0,151.2,0.7826565830718433,260737,1.2299
491,300.0,150.5,0.7822652547803074,261608,0.8125
492,85.0,150.45,0.7818741221529173,262023,1.8482
493,315.0,150.7,0.7814831850918409,262981,0.7859
494,95.0,149.55,0.781092443499295,263274,0.2762
495,235.0,151.0,0.7807018972775454,263787,1.0831
496,55.0,151.35,0.7803115463289066,264150,0.3291
497,50.0,149.75,0.7799213905557423,264444,1.5336
498,495.0,153.6,0.7795314298604644,265115,1.7337
499,195.0,154.5,0.7791416641455342,265655,0.1444
500,90.0,154.05,0.7787520933134615,266011,1.3664
501,80.0,153.65,0.7783627172668048,266447,0.3115
502,230.0,155.3,0.7779735359081715,266926,0.2082
503,65.0,155.25,0.7775845491402175,267371,0.9714
504,190.0,154.3,0.7771957568656473,268008,0.2282
505,120.0,154.95,0.7768071589872145,268549,0.2921
