episode,score,clipped_reward,average_score,epsilon,steps,loss
444,155.0,10.0,131.6,0.9580,227630,0.009119
445,155.0,10.0,132.0,0.9579,228141,0.007997
446,55.0,5.0,131.3,0.9578,228427,0.007259
447,105.0,8.0,130.0,0.9577,228966,0.008020
448,60.0,6.0,130.2,0.9577,229333,0.007616
449,45.0,5.0,130.4,0.9576,229790,0.006263
450,185.0,12.0,131.2,0.9575,230369,0.009975
451,95.0,8.0,130.9,0.9574,230716,0.016688
452,225.0,14.0,131.9,0.9573,231757,0.012466
453,295.0,19.0,134.1,0.9572,232574,0.005005
454,160.0,11.0,135.4,0.9571,233111,0.011817
455,755.0,34.0,141.8,0.9570,234246,0.008047
456,90.0,7.0,140.9,0.9569,234627,0.009749
457,430.0,16.0,143.9,0.9568,235292,0.009216
458,120.0,8.0,144.3,0.9567,235741,0.005985
459,155.0,10.0,144.8,0.9566,236121,0.012110
460,125.0,9.0,144.7,0.9565,236561,0.014592
461,65.0,6.0,143.8,0.9564,237023,0.011984
462,110.0,8.0,141.8,0.9563,237373,0.008130
463,55.0,5.0,141.0,0.9562,237712,0.012210
464,105.0,8.0,140.2,0.9561,238107,0.007876
465,245.0,15.0,141.4,0.9560,238847,0.009763
466,55.0,4.0,141.4,0.9559,239185,0.007446
467,255.0,16.0,140.7,0.9559,239702,0.017326
468,180.0,11.0,141.7,0.9558,240247,0.009622
469,340.0,21.0,144.6,0.9557,241117,0.007496
470,100.0,8.0,145.3,0.9556,241501,0.043807
471,295.0,18.0,146.2,0.9555,242240,0.009890
472,135.0,9.0,145.7,0.9554,242749,0.004988
473,120.0,10.0,145.8,0.9553,243239,0.013206
474,50.0,4.0,144.6,0.9552,243582,0.003947
475,380.0,12.0,146.8,0.9551,244411,0.004881
476,110.0,7.0,145.8,0.9550,244868,0.011102
477,420.0,16.0,149.4,0.9549,245501,0.016090
478,70.0,5.0,149.7,0.9548,245856,0.004334
479,105.0,6.0,148.7,0.9547,246225,0.012099
480,155.0,10.0,149.8,0.9546,246778,0.009547
481,15.0,2.0,149.3,0.9545,247077,0.020880
482,65.0,6.0,148.8,0.9544,247381,0.056457
483,255.0,18.0,150.8,0.9543,248272,0.043897
484,50.0,4.0,149.9,0.9542,248659,0.008232
485,55.0,5.0,149.1,0.9541,248966,0.004370
486,185.0,11.0,148.6,0.9541,249521,0.007729
487,180.0,11.0,149.2,0.9540,250239,0.006667
488,210.0,12.0,150.0,0.9539,250675,0.011448
489,90.0,7.0,150.3,0.9538,251104,0.011240
490,110.0,7.0,150.7,0.9537,251606,0.013537
491,65.0,6.0,151.0,0.9536,251961,0.005352
492,355.0,12.0,154.2,0.9535,252845,0.012529
493,40.0,4.0,152.5,0.9534,253276,0.013114
494,155.0,10.0,151.8,0.9533,253784,0.008941
495,25.0,4.0,150.4,0.9532,254218,0.021246
496,120.0,8.0,150.9,0.9531,254678,0.006067
497,70.0,6.0,151.4,0.9530,254986,0.010673
498,95.0,7.0,151.1,0.9529,255322,0.008695
499,45.0,5.0,150.6,0.9528,255621,0.007491
500,110.0,7.0,150.6,0.9527,256012,0.005444
501,160.0,12.0,151.5,0.9526,256560,0.006321
502,150.0,10.0,152.2,0.9525,257014,0.009637
503,35.0,4.0,146.6,0.9524,257310,0.005620
504,125.0,9.0,146.5,0.9523,257908,0.008515
505,80.0,6.0,146.3,0.9523,258258,0.004710
506,180.0,15.0,146.8,0.9522,258811,0.007678
507,215.0,12.0,147.9,0.9521,259387,0.005645
508,180.0,11.0,149.0,0.9520,259853,0.039523
509,120.0,8.0,147.0,0.9519,260280,0.010736
510,80.0,7.0,146.8,0.9518,260573,0.024976
511,120.0,8.0,146.4,0.9517,261041,0.014788
512,375.0,25.0,148.7,0.9516,261935,0.008939
513,135.0,9.0,149.2,0.9515,262518,0.017040
514,545.0,22.0,152.9,0.9514,263420,0.010467
